Country name,Ladder score,Logged GDP per capita,Social support,Healthy life expectancy,Freedom to make life choices,Generosity,Perceptions of corruption,year,Regional indicator_Central and Eastern Europe,Regional indicator_Commonwealth of Independent States,Regional indicator_East Asia,Regional indicator_Latin America and Caribbean,Regional indicator_Middle East and North Africa,Regional indicator_North America and ANZ,Regional indicator_South Asia,Regional indicator_Southeast Asia,Regional indicator_Sub-Saharan Africa,Regional indicator_Unkown,Regional indicator_Western Europe
Congo (Kinshasa),4.311,-2.0925986597089876,-1.2211743720047916,-1.4432431789743765,-0.307779765591908,0.42957327487336505,0.3608616805269829,12,0,0,0,0,0,0,0,0,0,1,0
Costa Rica,7.082,0.16184333620710492,1.0513222142007612,0.84469220069627,0.9634708233082904,0.3797245843743892,0.3020349719084174,1,0,0,0,1,0,0,0,0,0,0,0
Costa Rica,7.432,0.21822607177253353,0.8896089739838866,0.8366360902044717,1.256286970189797,0.6165058642445242,0.41968838914554785,2,0,0,0,1,0,0,0,0,0,0,0
Costa Rica,6.851,0.245983726204744,0.8725865276452682,0.8285799797126734,1.177726540538661,0.6040436916197803,0.3982968587387967,3,0,0,0,1,0,0,0,0,0,0,0
Costa Rica,7.615,0.22603291208159146,0.7364069569363212,0.820523869220877,0.9920382522723398,0.4108800159362491,0.24320826328985184,4,0,0,0,1,0,0,0,0,0,0,0
Costa Rica,7.271,0.2572602733178294,0.864075304475959,0.8124677587290786,0.956328966067278,0.2987204623135536,0.11485908084934521,5,0,0,0,1,0,0,0,0,0,0,0
Costa Rica,7.229,0.2832830743480262,0.6683171715818476,0.8393214603684058,1.277712541912834,-0.19976644267620436,0.5106023933742401,6,0,0,0,1,0,0,0,0,0,0,0
Costa Rica,7.272,0.31364300888325647,0.7534294032749396,0.8661751620077311,1.299138113635871,0.29248937600118163,0.28064344150166626,7,0,0,0,1,0,0,0,0,0,0,0
Costa Rica,7.158,0.3231847025943282,0.7534294032749396,0.8930288636470584,1.077740539164488,0.11801895925476633,0.38225321093373343,8,0,0,0,1,0,0,0,0,0,0,0
Costa Rica,7.247,0.3440029434184868,0.8555640813066498,0.9198825652863856,1.2848543991538464,0.06817026875579055,0.2485561458915396,9,0,0,0,1,0,0,0,0,0,0,0
Costa Rica,6.854,0.36482118424264387,0.5491600472115189,0.9467362669257128,1.1420172543335994,-0.36177468679787567,0.10416331564596966,10,0,0,0,1,0,0,0,0,0,0,0
Costa Rica,7.136,0.3917114119738483,0.7449181801056304,0.97358996856504,0.8991941081391792,-0.19353535636383237,0.21112096767972519,11,0,0,0,1,0,0,0,0,0,0,0
Costa Rica,7.225,0.4159993596020328,0.9236538666611234,1.0004436702043653,1.3491311143229576,-0.46770315410819924,0.0025535462139019125,12,0,0,0,1,0,0,0,0,0,0,0
Costa Rica,7.141,0.42987818681813805,0.5321376008729005,1.0272973718436926,1.3919822577690308,-0.6608668297917304,0.21112096767972519,13,0,0,0,1,0,0,0,0,0,0,0
Costa Rica,6.998,0.43941988052920977,0.7874742959521763,1.0541510734830197,1.2848543991538464,-0.9038791959742374,0.5052545107725522,14,0,0,0,1,0,0,0,0,0,0,0
Costa Rica,7.069,0.43508274702417776,0.6598059484125384,1.040724222663357,1.334847399840933,-0.779257469726798,0.3608616805269829,16,0,0,0,1,0,0,0,0,0,0,0
Croatia,5.821,0.6796970767080325,0.8215191886294131,0.46605500758176255,-0.6077377697144261,-0.5674005351061508,1.0293470057379543,2,1,0,0,0,0,0,0,0,0,0,0
Croatia,5.433,0.6293863280496496,0.40446925333326256,0.5358746318440119,-1.4147676379488214,-1.6827649850207342,1.1576961881784604,4,1,0,0,0,0,0,0,0,0,0,0
Croatia,5.596,0.6181097809365642,-0.1487602526718341,0.5707844439751374,-1.307639779333637,-1.470908050400087,1.237914427203777,5,1,0,0,0,0,0,0,0,0,0,0
Croatia,5.385,0.6181097809365642,-0.19982759168768927,0.5842112947948,-1.6433070696612169,-1.22789568421758,1.259305957610528,6,1,0,0,0,0,0,0,0,0,0,0
Croatia,6.028,0.6016286736174391,-0.318984716058018,0.5976381456144627,-1.464760638635908,-1.502063481961947,0.9758681797210765,7,1,0,0,0,0,0,0,0,0,0,0
Croatia,5.885,0.5990263935144208,-0.5317652952907479,0.6110649964341273,-0.8577027731498585,-1.265282202091812,1.0400427709413298,8,1,0,0,0,0,0,0,0,0,0,0
Croatia,5.381,0.6016286736174391,-1.4254437280682124,0.6244918472537899,-1.6290233551791922,0.8283627988651714,0.9437808841109498,9,1,0,0,0,0,0,0,0,0,0,0
Croatia,5.205,0.6293863280496496,-0.38707450141249156,0.6379186980734545,-0.37919833800203157,-0.5923248803556388,0.5747769845944933,10,1,0,0,0,0,0,0,0,0,0,0
Croatia,5.417,0.6658182494919272,-0.13173780633321572,0.7184798029914342,-0.5363191973043026,-0.39916120467210753,0.7619528756535655,11,1,0,0,0,0,0,0,0,0,0,0
Croatia,5.343,0.7031175976352093,-0.3700520550738732,0.799040907909414,-0.22207747869975974,-0.6421735708546145,0.8047359364670678,12,1,0,0,0,0,0,0,0,0,0,0
Croatia,5.536,0.7334775321704397,0.8215191886294131,0.8796020128273957,-0.4006239097250686,-0.9350346275360972,0.9812160623227644,13,1,0,0,0,0,0,0,0,0,0,0
Croatia,5.626,0.7629700400046624,1.042810991031452,0.9601631177453754,-0.05781476215647558,-0.8477994191628897,1.0186512405345787,14,1,0,0,0,0,0,0,0,0,0,0
Croatia,6.508,0.6831667835120584,0.9321650898304326,1.040724222663357,0.6420872474627344,-0.38669903204736356,1.1737398359835236,15,1,0,0,0,0,0,0,0,0,0,0
Croatia,5.882,0.727405545263394,0.9406763129997417,0.96002884923718,0.049313096458709745,-0.7294087792278221,1.0560864187463925,16,1,0,0,0,0,0,0,0,0,0,0
